Date,Open,High,Low,Close,Volume
2024-01-01,45000.00,46500.00,44500.00,46000.00,35000000
2024-01-02,46000.00,47000.00,45500.00,46500.00,32000000
2024-01-03,46500.00,47500.00,46000.00,47200.00,38000000
2024-01-04,47200.00,48000.00,46800.00,47800.00,41000000
2024-01-05,47800.00,48500.00,47200.00,48100.00,39000000
2024-01-06,48100.00,49000.00,47500.00,48800.00,45000000
2024-01-07,48800.00,49500.00,48200.00,49000.00,42000000
2024-01-08,49000.00,50000.00,48500.00,49800.00,48000000
2024-01-09,49800.00,50500.00,49200.00,50100.00,46000000
2024-01-10,50100.00,51000.00,49500.00,50800.00,50000000
