Date,Open,High,Low,Close,Volume
2024-01-01,45000.00,46500.00,44500.00,46000.00,35000000
2024-01-02,46000.00,47000.00,45500.00,46500.00,32000000
2024-01-03,46500.00,47500.00,46000.00,47200.00,38000000
2024-01-04,47200.00,48000.00,46800.00,47800.00,41000000
2024-01-05,47800.00,48500.00,47200.00,48100.00,39000000
2024-01-06,48100.00,49000.00,47500.00,48800.00,45000000
2024-01-07,48800.00,49500.00,48200.00,49000.00,42000000
2024-01-08,49000.00,50000.00,48500.00,49800.00,48000000
2024-01-09,49800.00,50500.00,49200.00,50100.00,46000000
2024-01-10,50100.00,51000.00,49500.00,50800.00,50000000
2024-01-11,50800.00,51500.00,50200.00,51200.00,47000000
2024-01-12,51200.00,52000.00,50800.00,51800.00,52000000
2024-01-13,51800.00,52500.00,51400.00,52100.00,49000000
2024-01-14,52100.00,53000.00,51700.00,52800.00,55000000
2024-01-15,52800.00,53500.00,52200.00,53200.00,51000000
2024-01-16,53200.00,54000.00,52800.00,53800.00,53000000
2024-01-17,53800.00,54500.00,53300.00,54100.00,48000000
2024-01-18,54100.00,55000.00,53600.00,54800.00,56000000
2024-01-19,54800.00,55500.00,54200.00,55100.00,50000000
2024-01-20,55100.00,56000.00,54600.00,55800.00,58000000
2024-01-21,55800.00,56500.00,55300.00,56200.00,54000000
2024-01-22,56200.00,57000.00,55700.00,56800.00,60000000
2024-01-23,56800.00,57500.00,56300.00,57200.00,55000000
2024-01-24,57200.00,58000.00,56700.00,57800.00,62000000
2024-01-25,57800.00,58500.00,57300.00,58100.00,57000000
2024-01-26,58100.00,59000.00,57600.00,58800.00,64000000
2024-01-27,58800.00,59500.00,58300.00,59200.00,59000000
2024-01-28,59200.00,60000.00,58700.00,59800.00,66000000
2024-01-29,59800.00,60500.00,59300.00,60100.00,61000000
2024-01-30,60100.00,61000.00,59600.00,60800.00,68000000
